,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
47,wa,smoothed_anxious_5d,2021-01-01,2021-01-06,5,17.7644781,0.4431789,7437.9599,state,fb-survey
48,wi,smoothed_anxious_5d,2021-01-01,2021-01-06,5,15.3733933,0.4763759,5732.9358,state,fb-survey
49,wv,smoothed_anxious_5d,2021-01-01,2021-01-06,5,20.0048849,0.7754763,2661.1078,state,fb-survey
50,wy,smoothed_anxious_5d,2021-01-01,2021-01-06,5,15.8334037,1.3297393,753.6697,state,fb-survey
0,ak,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.565534,1.2959121,823.0,state,fb-survey
1,al,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.4063974,0.5656014,4287.1169,state,fb-survey
2,ar,smoothed_anxious_5d,2021-01-02,2021-01-07,5,17.92574,0.6764733,3215.0134,state,fb-survey
3,az,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.5334208,0.478562,6025.5798,state,fb-survey
4,ca,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.6441168,0.2257922,27213.177,state,fb-survey
5,co,smoothed_anxious_5d,2021-01-02,2021-01-07,5,17.5275282,0.5099529,5558.6533,state,fb-survey
6,ct,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.6395349,0.5680243,4299.0,state,fb-survey
7,dc,smoothed_anxious_5d,2021-01-02,2021-01-07,5,14.8379052,1.7773766,400.0,state,fb-survey
8,de,smoothed_anxious_5d,2021-01-02,2021-01-07,5,13.1165919,0.923237,1337.0,state,fb-survey
9,fl,smoothed_anxious_5d,2021-01-02,2021-01-07,5,14.3042389,0.260074,18123.001,state,fb-survey
10,ga,smoothed_anxious_5d,2021-01-02,2021-01-07,5,15.8485614,0.4454295,6721.9225,state,fb-survey
11,hi,smoothed_anxious_5d,2021-01-02,2021-01-07,5,12.8344896,1.0534923,1008.0,state,fb-survey
12,ia,smoothed_anxious_5d,2021-01-02,2021-01-07,5,13.853853,0.5547192,3878.4666,state,fb-survey
13,id,smoothed_anxious_5d,2021-01-02,2021-01-07,5,15.8467229,0.7950115,2109.909,state,fb-survey
14,il,smoothed_anxious_5d,2021-01-02,2021-01-07,5,15.5718805,0.3285686,12177.9992,state,fb-survey
15,in,smoothed_anxious_5d,2021-01-02,2021-01-07,5,17.6370082,0.4645222,6731.9985,state,fb-survey
16,ks,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.0411272,0.6412807,3274.9537,state,fb-survey
17,ky,smoothed_anxious_5d,2021-01-02,2021-01-07,5,18.0271034,0.5699723,4548.7154,state,fb-survey
